Model,Train Time,Train Accuracy,Test Accuracy,Train Time Factor From Baseline
Baseline (Dummy),0.00162506103515625,0.8741445579825631,0.8717191601049868,1.0
Logistic Regression,0.1434338092803955,0.8741445579825631,0.8717191601049868,88.26364436619718
K-Nearest Neighbors,0.008358955383300781,0.8763944876722602,0.8544400699912511,5.143779342723005
Decision Tree,0.030253887176513672,0.9038155057654448,0.8461286089238845,18.617077464788732
SVM,2.1887547969818115,0.8741445579825631,0.8717191601049868,1346.875440140845
