Model,Train Time,Train Accuracy,Test Accuracy,Train Time Factor From Baseline
Baseline (Dummy),0.0006499290466308594,0.8741445579825631,0.8717191601049868,1.0
Logistic Regression,0.1124732494354248,0.8741445579825631,0.8717191601049868,173.05465884079237
K-Nearest Neighbors,0.0029668807983398438,0.8763944876722602,0.8544400699912511,4.564930300807044
Decision Tree,0.029948949813842773,0.9038155057654448,0.8465660542432196,46.08033749082905
SVM,2.2063798904418945,0.8741445579825631,0.8717191601049868,3394.8011738811447
